imdb_id,title,genres,popularity,release_date,budget,revenue,vote_average,ROI
tt4154756,Avengers: Infinity War,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",229.85,2018-04-25,300000000.0,2046239637.0,8.3,6.82079879
tt10308928,Force of Nature,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",192.562,2020-07-02,23000000.0,215668.0,5.2,0.009376869565217391
tt6105098,The Lion King,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 16, 'name': 'Animation'}]",182.649,2019-07-12,260000000.0,1656943394.0,7.2,6.372859207692308
tt6450804,Terminator: Dark Fate,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",199.17,2019-10-23,185000000.0,261119292.0,6.5,1.4114556324324323
tt4154796,Avengers: Endgame,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",226.56400000000002,2019-04-24,356000000.0,2797800564.0,8.3,7.858990348314607
tt4777008,Maleficent: Mistress of Evil,"[{'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",195.65599999999998,2019-10-16,185000000.0,491570967.0,7.4,2.657140362162162
tt1979376,Toy Story 4,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",181.13099999999997,2019-06-19,175000000.0,1073394593.0,7.6,6.133683388571429
tt11285908,Ashfall,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",204.18599999999998,2019-12-19,17700000.0,61255955.0,6.8,3.460788418079096
tt0407887,The Departed,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",231.40200000000002,2006-10-05,90000000.0,291465034.0,8.2,3.2385003777777777
tt6146586,John Wick: Chapter 3 - Parabellum,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",211.34099999999998,2019-05-15,55000000.0,326709727.0,7.4,5.940176854545455
tt6320628,Spider-Man: Far from Home,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",188.549,2019-06-28,160000000.0,1131927996.0,7.6,7.074549975
tt6723592,Tenet,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",194.267,2020-08-22,205000000.0,347100000.0,7.5,1.693170731707317
tt2527338,Star Wars: The Rise of Skywalker,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",164.72299999999998,2019-12-18,250000000.0,1074144248.0,6.6,4.296576992
tt4126476,After,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",188.669,2019-04-11,14000000.0,69497587.0,7.1,4.964113357142857
tt1025100,Gemini Man,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",180.114,2019-10-02,138000000.0,173469516.0,6.4,1.2570254782608696
tt6095472,The Angry Birds Movie 2,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",160.507,2019-08-02,65000000.0,131359052.0,7.2,2.0209084923076923
tt5774060,Underwater,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",137.542,2020-01-08,80000000.0,40882928.0,6.3,0.5110366
tt5884052,Pokémon Detective Pikachu,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",152.87,2019-05-03,150000000.0,433005346.0,7.0,2.886702306666667
tt2709692,The Grinch,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",177.96099999999998,2018-11-08,75000000.0,508575295.0,6.8,6.781003933333333
tt5113040,The Secret Life of Pets 2,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",138.607,2019-05-24,80000000.0,155152550.0,7.0,1.939406875
tt6139732,Aladdin,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}]",173.235,2019-05-22,183000000.0,1047612394.0,7.2,5.7246578907103824
tt6673612,Dolittle,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",136.614,2020-01-01,175000000.0,245692007.0,6.9,1.4039543257142857
tt1224378,Forbidden Empire,"[{'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}, {'id': 9648, 'name': 'Mystery'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",172.36900000000003,2014-01-30,26000000.0,34592118.0,5.8,1.330466076923077
tt9426210,Weathering with You,"[{'id': 16, 'name': 'Animation'}, {'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",167.40400000000002,2019-07-19,11100000.0,186965409.0,8.1,16.84373054054054
tt1620981,The Addams Family,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",165.072,2019-10-10,40000000.0,203044905.0,6.6,5.076122625
tt1070874,The Trial of the Chicago 7,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}]",143.523,2020-09-25,35000000.0,104048.0,7.8,0.0029728
tt1950186,Ford v Ferrari,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",162.09799999999998,2019-11-13,97600000.0,225508210.0,8.0,2.31053493852459
tt5848272,Ralph Breaks the Internet,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",144.14700000000002,2018-11-20,175000000.0,529221154.0,7.3,3.02412088
tt1560220,Zombieland: Double Tap,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",157.535,2019-10-09,42000000.0,122801777.0,7.0,2.9238518333333334
tt4094724,The Purge: Election Year,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",131.741,2016-06-29,10000000.0,118587880.0,6.4,11.858788
tt1206885,Rambo: Last Blood,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",146.85,2019-09-19,50000000.0,91490353.0,6.4,1.82980706
tt4633694,Spider-Man: Into the Spider-Verse,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",153.903,2018-12-06,90000000.0,375540831.0,8.4,4.1726759
tt6133466,The First Purge,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",131.441,2018-07-04,13000000.0,137056262.0,5.9,10.542789384615384
tt1270797,Venom,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",151.64700000000002,2018-09-28,116000000.0,855013954.0,6.7,7.370809948275862
tt5220122,Hotel Transylvania 3: Summer Vacation,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}]",134.46,2018-06-28,80000000.0,100176000.0,6.9,1.2522
tt4779682,The Meg,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}]",128.066,2018-08-09,150000000.0,530243742.0,6.1,3.53495828
tt4881806,Jurassic World: Fallen Kingdom,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",123.13799999999999,2018-06-06,170000000.0,1303459585.0,6.6,7.667409323529411
tt6751668,Parasite,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",120.301,2019-05-30,11363000.0,257591776.0,8.5,22.669345771363197
tt0241527,Harry Potter and the Philosopher's Stone,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",135.056,2001-11-16,125000000.0,976475550.0,7.9,7.8118044
tt0364385,Ju-on: The Grudge,"[{'id': 27, 'name': 'Horror'}]",119.221,2002-10-18,3500000.0,325680.0,6.6,0.09305142857142858
tt7504726,The Call of the Wild,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",134.933,2020-02-19,109000000.0,107604626.0,7.5,0.9871984036697248
tt3501632,Thor: Ragnarok,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",119.65,2017-10-25,180000000.0,853977126.0,7.6,4.7443173666666665
tt0414982,Final Destination 3,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",102.944,2006-02-09,25000000.0,117719158.0,6.0,4.70876632
tt0345950,The SpongeBob SquarePants Movie,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",135.04,2004-11-14,30000000.0,140161792.0,6.8,4.672059733333334
tt5814534,Spies in Disguise,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",119.67200000000001,2019-12-04,100000000.0,171616764.0,7.8,1.71616764
tt6565702,Dark Phoenix,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",108.911,2019-06-05,200000000.0,252442974.0,6.1,1.26221487
tt2279373,The SpongeBob Movie: Sponge Out of Water,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}]",112.079,2015-01-28,74000000.0,311594032.0,6.0,4.210730162162162
tt3741700,Godzilla: King of the Monsters,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",124.20700000000001,2019-05-29,170000000.0,386600138.0,6.5,2.2741184588235295
tt7547410,Dora and the Lost City of Gold,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",112.32600000000001,2019-08-08,49000000.0,116826172.0,6.8,2.3842075918367347
tt4154664,Captain Marvel,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",123.523,2019-03-06,152000000.0,1128276090.0,7.0,7.422869013157895
tt7025388,Abigail,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}]",131.361,2019-08-22,7000000.0,1940234.0,5.9,0.2771762857142857
tt0974015,Justice League,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",112.464,2017-11-15,300000000.0,657924295.0,6.2,2.193080983333333
tt5311514,Your Name.,"[{'id': 10749, 'name': 'Romance'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",130.125,2016-08-26,370000000.0,357986087.0,8.6,0.9675299648648649
tt2184339,The Purge,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",109.115,2013-05-31,3000000.0,89328627.0,6.2,29.776209
tt3819668,Dragon Ball Z: Resurrection 'F',"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}]",127.436,2015-04-18,5000000.0,61768190.0,6.9,12.353638
tt5033998,Charlie's Angels,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",125.774,2019-11-14,48000000.0,73279888.0,6.7,1.5266643333333334
tt1825683,Black Panther,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",103.072,2018-02-13,200000000.0,1346739107.0,7.4,6.733695535
tt0448115,Shazam!,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",109.811,2019-03-29,80000000.0,363533271.0,7.0,4.5441658875
tt1677720,Ready Player One,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",126.926,2018-03-28,175000000.0,582890172.0,7.6,3.3308009828571428
tt3470600,Sing,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}]",96.344,2016-11-23,75000000.0,634151679.0,7.0,8.45535572
tt8364368,Crawl,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}]",95.15799999999999,2019-07-11,13500000.0,89203432.0,6.3,6.6076616296296296
tt6324278,Abominable,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",106.051,2019-09-19,75000000.0,179057149.0,7.6,2.3874286533333335
tt2386490,How to Train Your Dragon: The Hidden World,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",117.821,2019-01-03,129000000.0,517526875.0,7.8,4.011836240310077
tt0330373,Harry Potter and the Goblet of Fire,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",101.904,2005-11-16,150000000.0,895921036.0,7.8,5.9728069066666665
tt7394816,Primal,"[{'id': 28, 'name': 'Action'}]",84.262,2019-12-27,9000000.0,84630.0,6.2,0.009403333333333333
tt2294629,Frozen,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",114.75,2013-11-27,150000000.0,1274219009.0,7.3,8.494793393333333
tt7456310,Anna,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",114.705,2019-06-19,34000000.0,31329947.0,6.7,0.9214690294117647
tt0437086,Alita: Battle Angel,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",113.785,2019-01-31,170000000.0,404852543.0,7.1,2.3814855470588236
