,popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
905,9.163,7,False,/mBqKBfyJZiLyxLyzKNm63no1KUg.jpg,606876,False,,en,Rifkin's Festival,"[35, 10749]",Rifkin's Festival,6.3,"The story of a married American couple who go to the San Sebastian Film Festival. They get caught up in the magic of the festival, the beauty and charm of Spain and the fantasy of movies. She has an affair with a brilliant French movie director, and he falls in love with a beautiful Spanish woman who lives there.",2020-10-01
906,9.158,0,False,/2JkS7KEtbBuRtQOAdSXdjO6M3IV.jpg,679899,False,/92Q8enZfG1kc27BWrmNuLWsvbTA.jpg,es,La chancha,"[18, 53]",La chancha,0.0,"Pablo and Miguel, from Las Varillas, see each other after many years in La Cumbre when they are both on vacation with their partners. Secrets will come to light when Pablo's wife discovers why Miguel's presence bothers her husband so much.",2020-05-28
907,9.137,111,False,/2RcauukLfwBtB7bAKzFhxAnlSKb.jpg,586265,False,/asKrgRzQfD22ZRne02ScuNa8j5a.jpg,es,La marca del demonio,[27],The Devil's Mark,4.5,An exorcist priest meets a family that has a daughter who is pursued by a demon.,2020-01-03
908,9.121,1,False,/oOcUeXV0wUhRdnFIkeqagzIlWpr.jpg,741488,False,/hSOj3pmWR33hLz0ULl4UbQc9K4r.jpg,en,UFC Fight Night 177: Waterson vs. Hill,[],UFC Fight Night 177: Waterson vs. Hill,6.0,Main event: Michelle Waterson vs. Angela Hill | Sijara Eubanks vs. Julia Avila | Roxanne Modafferi vs. Andrea Lee | Bryan Barberena vs. Anthony Ivy  | Alan Patrick vs. Bobby Green,2020-09-12
909,9.119,0,False,/oGqNWz3Ud0e8trsr2TuwIvWZRqI.jpg,755529,False,/7d659seuvqhkDnOYWSuGtyU1B1V.jpg,en,Battle of the Bulge: Winter War,"[28, 10752]",Battle of the Bulge: Winter War,0.0,Lt. Robert Cappa and his platoon of 2nd Infantry Division soldiers must defend a vital supply depot from being captured by attacking German soldiers.,2020-11-06
910,9.116,0,False,/3x3b8qdavqA0njjaGdYgE8CQkCT.jpg,744929,False,/swkXqIS2Gcl5ELWB0AnBOyXN3Tv.jpg,en,The Christmas Aunt,"[10770, 10749]",The Christmas Aunt,0.0,"When Rebecca Miller (Keshia Knight Pulliam) returns home to Tennessee two weeks before Christmas to take care of her niece and nephew while their parents are away, the last thing she expected is to reconnect with her childhood best friend, Drew (Jarod Joseph). As she attempts to revive the kids’ Christmas spirit and redeem their faith in Santa, she rediscovers her favorite childhood activity: 12 Days of Christmas–something she always did with Drew. As the kids’ faith in the holiday grows, Rebecca and Drew’s friendship returns, and she starts looking at Drew in a whole new light.",2020-11-01
911,9.111,12,False,/U1yqjQnFO3Lk8n5dUrzCAonDBs.jpg,685051,False,/YHwlfx0qwIE9nhKhr5Re3hAdD4.jpg,en,Into the Arms of Danger,"[10770, 53]",Into the Arms of Danger,6.3,"Two paramedics arrive at the site of a car accident to transport an injured teenage girl to the hospital. However, instead of taking her to the hospital, the strangers bring her to a home of a woman whose daughter just died.",2020-03-15
912,9.109,3,False,/ir5IK16BXywkQrv5gc3Z2dIcJIl.jpg,737778,False,/5uLzDIBs409xhXIkqlgoETenfzS.jpg,en,On the 12th Date of Christmas,"[10770, 10749]",On the 12th Date of Christmas,7.7,"Two seemingly incompatible game designers team up to create a romantic, city-wide scavenger hunt themed for the “12 Days of Christmas.”",2020-11-01
913,9.102,0,False,/omMYAGZRtvTIObI1835JyemxHJr.jpg,522772,False,,en,Sk8r Grrl,[14],Sk8r Grrl,0.0,A gang of skater girls use newfound magic to save New York City from a coven of reptilian witches.,2020-11-22
914,9.1,10,False,/ykDsN1hpHFGIAkx8JnVf336rUX8.jpg,536517,False,/oa4bK4K9WOWFPEaR51GN6NWHQqF.jpg,en,Blood Machines,"[878, 12, 10402, 27]",Blood Machines,6.8,An artificial intelligence escapes her spaceship to turn into a female ghost and challenges two blade runners to a galactic chase.,2020-09-01
