,popularity,id,video,vote_count,vote_average,title,release_date,original_language,original_title,genre_ids,backdrop_path,adult,overview,poster_path
9498,0.877,634983,False,0,0.0,Farce,2019-07-13,xx,Farse,[16],/w9FHYZuGcmRwDUOuc9XTUhcR2js.jpg,False,Romance doesn’t get much more perverse or deranged than the gory mayhem that transpires throughout this absurdist mixed media animation as it unravels a riotous tale of courtly love and meat grinders.,/rO54ohFEf6sJkjAWmG8rZYKzGi4.jpg
9499,0.877,622211,False,0,0.0,El maestro Humberto Maturana,2019-07-22,es,El maestro Humberto Maturana,[99],,False,"This documentary explores the impact and life of one of the most internationally recognized Chilean scientists, an inspiring human being who at his 90 years is more lively than ever.",/kopOG8wTz4pNDazRzsyj9M6T8Tm.jpg
9500,0.877,617401,False,0,0.0,Wander in Wonder,2019-07-21,ja,Wander in Wonder,[16],,False,"The adventure of a lost little rabbit wandering through the woods. As night draws near, wonder-working plants and flowers show the way.",/hYqqcaDFVAFnQVBdVhIxW7ZIHG0.jpg
9501,0.877,616026,False,0,0.0,Arrow,2019-07-12,en,Arrow,[],,False,"Two stories are interconnected in this brief film: Mike, a teenager at Wisconsin Museum of Music, is surrounded by Native American collectibles. Elsewhere, Winfield, a young Native American dancer, bids farewell to his community.",
9502,0.877,615903,False,0,0.0,Fly Us To The Moons,2019-07-16,en,Fly Us To The Moons,[16],,False,"A swarm of forms, reminiscent of alien spaceships or mechanical bats suspended in space.",/tq7pffS7AJ2jXcP9HrOejo7lTlp.jpg
9503,0.877,615887,False,0,0.0,Twilight,2019-07-16,en,Twilight,[16],,False,An exploration of the relationship between sound and picture inspired by the two lights (twi-light) found inside film projectors.,/74Fk8s9rQX2pTJCEKxy8zKChVRH.jpg
9504,0.877,614965,False,0,0.0,Cin Deresi: Müsfer,2019-07-12,tr,Cin Deresi: Müsfer,[],,False,,/jt5N7uJY72k8dsfScTdZBNAuPkz.jpg
9505,0.877,599691,False,0,0.0,Landscape Becoming Landscape,2019-07-19,en,Landscape Becoming Landscape,[99],,False,A woman folds some pictures representing natural landscapes and place them into a real lanscape. Fiction and reality blur into each other.,/gZYBhU7XiZ4Afh7cy0g2HBK5EIl.jpg
9506,0.877,599657,False,0,0.0,The Horse Latitudes,2019-07-17,pt,The Horse Latitudes,[],,False,,/nDcNHmLlGG9bXcO9PI23prpKgIi.jpg
9507,0.877,597821,False,0,0.0,The Memory of Water,2019-05-15,ko,물의 기억,[99],/oKCRR9kyCnATNF7lpN0xSqAGIEl.jpg,False,"The secretive rules of nature spread out to be extraordinary beauty. Water is a lifeform that remembers and reflects everything. Following the nature of this water and the mysterious record of the ecosystem leads to the wonderful four seaons of the Bongha Village and the late Roh Moo-hyun's ambitious visions. What is the future he dreamt of back in his home, carrying out biological agricultural technology?",/kiNLKpD6RZcsRsnOYayPW5q6rcO.jpg
9508,0.876,746168,False,0,0.0,Analog: The Art & History Of Reel-To-Reel Tape Recording,2019-07-07,en,Analog: The Art & History Of Reel-To-Reel Tape Recording,[99],,False,"Through the passage of time, there was one format that could rival the sound quality of any other, the analog reel-to-reel tape recorder, and this is her story.",/5rujLMnRYmisCgngwIODGu7X8ME.jpg
9509,0.876,729813,False,0,0.0,The Thunder Legend: Unbounded,2019-07-06,en,惊雷传说之无界,[],,False,"The film tells the story of the eccentric crab goblin Yan Ruyu, who was forced to marry an ugly old bull demon king as a concubine and, yearning for freedom and looking for true love, fled to the human world using the legendary ""thunder"" method to meet a cold demon hunter Yun Zhongjin. As a child, Yun Zhongjin was killed by an evil demon and his whole family was wiped out. When he meets Yan Ruyu, the two grow up together and share their hardships.",/aGZiw8oP8pWEMTI9lCXfHSNKjS9.jpg
9510,0.876,727583,False,0,0.0,Rapunzel: A Princess Frozen in Time,2019-05-15,en,Rapunzel: A Princess Frozen in Time,[14],,False,"In this modern adaptation of Rapunzel, a young girl who has lived her entire life in a room catered by her mother, the infamous scientist Dr. Gothen, must come to terms with her reality in order to expand her horizons.",/lNxQ2TLnJ3Jyndpxb24XO2uC5Cc.jpg
9511,0.876,722904,False,0,0.0,Live at Glastonbury 2019,2019-07-09,en,Rex Orange County: Live at Glastonbury 2019,[10402],,False,Rex Orange County performs at Glastonbury 2019.,/tkD65Q64F7uqMf0ZMfdWowsuS2c.jpg
9512,0.876,714137,False,0,0.0,Zwart,2019-07-01,en,Zwart,[],,False,"When the slightly naïve Ronnie gives up a tad too much personal information during verification questions on his computer, he receives a fully customised invitation from his OS in return. After accepting the offer his OS takes over his computer, forcing Ronnie to do everything in his power to keep his dark desires a secret for his approaching wife.",/8ZoGWYs9DeeShScJFygPW1PjNhB.jpg
9513,0.876,687638,False,0,0.0,"Wang Bing, Tendre Cinéaste Du Chaos Chinois",2019-07-10,zh,"Wang Bing, Tendre Cinéaste Du Chaos Chinois",[99],,False,"Wang Bing is one of the greatest documentary-makers alive today, and his films offer a very insightful overview of the transformations occurring in Chinese society. Here, Dominique Auvray conducts an interview that, in addition to the biographical information, focuses above all on the relationship with things unsaid: Wang Bing attempts to do justice to his theme and the testimonies he’s gathered, but he stumbles over the words, struggling to keep his emotions in check. The pain of tackling history shows through the awkward speech.",/hCVL8I32r8mvGNIvQyB3frvFuA2.jpg
9514,0.876,666222,False,0,0.0,"Creature, Where Are You Going?",2019-07-01,en,Creatura dove vai?,[],,False,"An old and innocent peasant woman's shaky path towards saintliness turns into a tortuous journey through a pagan, animist world. This tragicomic parable mingles different registers, weaving together biblical, vulgar, fairy tale and literary references, attempting to strike an impossible balance between holiness and blasphemy, faith and cynicism.",/3KFXS0isgPG2KgZiAeTtaM0igMt.jpg
9515,0.876,661863,False,0,0.0,Dej ševče gól!,2019-07-04,cs,Dej ševče gól!,[99],/v3qWcnjaz8XKI79fx666TCddg4G.jpg,False,,/8Hk21CwmDy1bv8cty7Wv4g0FcBr.jpg
9516,0.876,659860,False,0,0.0,Dreamville Presents: REVENGE,2019-07-03,en,Dreamville Presents: REVENGE,[],,False,"This is the official documentary chronicling the Revenge of the Dreamers III sessions in January 2019 at Tree Sound Studios in Atlanta, Georgia.",/sY9ytjZKxkGupvdihe1UBMbHOSj.jpg
9517,0.876,655732,False,0,0.0,The Sum of Its Parts,2019-06-30,en,The Sum of Its Parts,[],,False,Experimental black and white film.,
9518,0.876,653999,False,0,0.0,Flight,2019-05-20,en,Flight,"[10402, 18]",,False,A lone dancer in an urban housing estate performs the pedestrian choreography of an inflight safety demonstration.,/tFcoi7JAe5l3cmP9Oj1AO8t56eR.jpg
9519,0.876,644612,False,1,2.0,Happiness in an Envelope,2019-12-03,ru,Счастье в конверте,"[18, 10751]",/aWpReKrSVVUJNWe0U77PpDSIqFE.jpg,False,"Three amazing stories about love and friendship, about faith in a dream and the connection of generations, about how not to betray yourself and remain human in any life situation. In the age of technology, people are used to rushing, running, making money, while forgetting about the main thing - about themselves and their true desires. It seems to us that we will become happier as soon as we have a new car or a high salary. And everything is much simpler - the secret of happiness is hidden in the soul of every person: in the ability to believe in miracles, make friends, love, be courageous, follow your dream!",/eOhg2usPmp6VsQHhcT5WRH1cRXE.jpg
9520,0.876,644145,False,0,0.0,Mudo,2019-07-10,en,Mudo,[37],,False,"When two inmates, Lloyd ""Bunny"" Madison and a mysterious mute escape prison, the Warden, mayor, and their film partner pursue to hunt them down. Meanwhile, a retired cop, John Grover, goes after the case of the missing inmates for his own satisfaction.",/cjViV4zVKVlc4T6xEGTHmxlBCCX.jpg
9521,0.876,636626,False,0,0.0,Not (a) Part,2019-07-05,en,Not (a) Part,[],,False,"Conceived in relation to both the rapid decline of flying insects and the high recurrence of animation, Not (a) part is handmade or contact film that works with the subject and/or material of flying insects. Numerous dead bees found on walks were positioned directly onto negative film and contact printed. Occupying approximately 24 frames they run at a rate of one bee per second. The length of the film is determined by how many specimens are found over a specified period of time.",/yNbY0DjeNBddVTwbDVQguK1aOzD.jpg
9522,0.876,634808,False,0,0.0,Lohengrin,2019-07-05,de,Lohengrin,[10402],/2iTOjDnTYdlKBi86wFOrFkTHjx6.jpg,False,"After Tristan und Isolde (2016), Parsifal (2017) and Die Meistersinger von Nürnberg (2018) this is the fourth installment of the exclusive, multiyear partnership between Deutsche Grammophon and the Bayreuth Festival, in which the Yellow Label is the exclusive audiovisual partner of the mythical Wagner festival, releasing each edition's new production on Blu-ray. This year, we are proud to release on Blu-ray the celebrated production of Lohengrin which was premiered on 25 July 2018, featuring an illustrious cast including Piotr Beczala and Anja Harteros in their house debuts, as well as the acclaimed return of Waltraud Meier to the Bayreuth Festival. The New York Times praised Piotr Beczala’s Lohengrin as “outstanding”, Anja Harteros [making] her impressive Bayreuth debut” as Elsa, and Ortrud “played with dominant presence by the incomparable Waltraud Meier”.",/y27UQmmjvGLr3slNnchk4dpAFFN.jpg
9523,0.876,619260,False,0,0.0,Weird Summer,2019-05-28,en,Weird Summer,[9648],,False,A wanderer discovers a stone structure deep in the woods.,/519uZDt8DWfyW6cqpYsnWgx8vV.jpg
9524,0.876,617052,False,0,0.0,The Alley,2019-05-26,es,El callejón,[],,False,A woman meets a country singer while she waits for news of her missing husband.,/4Tv2yQQxeQcWJj7V4O3coBxlWFD.jpg
9525,0.876,616999,False,1,7.0,Killing the Dead,2019-09-05,es,Matar a un muerto,[53],,False,"Paraguay 1978, during Stroessner’s dictatorship, Pastor and Dionisio work burying bodies illicitly. In Argentina, the World Cup is being held. One morning, among the bodies, they find Mario, who is still alive. They know they must kill him but the problem is: in spite of what they are doing, they have never killed anyone before. A storm indicates that the winter is coming while the destiny of the three men is determined during the World Cup final. Both Pastor and Dionisio are the last link of a chain in the terrible system that has as a result in all the missing people.",/2YJmFecKDIBQHJ7RmMQ8nCDZyRv.jpg
9526,0.876,603011,False,0,0.0,Heat,2019-05-18,en,Heat,[],,False,Exploration of a body,/dF9Kk3f7gZiFkar3f5uMHFAguml.jpg
9527,0.876,538272,False,0,0.0,The Last Astronaut,2019-04-07,en,The Last Astronaut,[878],/mSN1uvaUvTqKG54YJJJhWltdyK5.jpg,False,An alien astronaut crash lands on planet Earth where an evolved species dominate. The search for intelligent life begins or Earth will be destroyed.,/fn1XuhIHeiiwMGMpsuQoceicJKz.jpg
